stage,code,first_seen,measured_to,points,peak_ccu,peak_at,pickup_at,hours_to_pickup,plays,minutes_played,favorites,recommendations,unique_players,avg_minutes,d1,d7,best_rank,best_rank_genre
24,5685-9016-0182,2026-09-25T19:03:58Z,2026-09-26T19:03:58Z,0,,,,,,,,,,,,,,
24,9740-8000-5983,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,9919-1054-9272,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,4,19,2026-09-26T02:40:00Z,,,43,355,7,1,,,,,,
24,0431-1793-0606,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,2897-9327-6700,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,0256-1067-5136,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,3,9,2026-09-26T02:10:00Z,,,17,131,1,0,,,,,,
24,5551-4414-7517,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,6278-1703-9075,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,4332-3141-6967,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,0236-7576-3252,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,4,33,2026-09-26T03:10:00Z,,,67,607,8,0,,,,,,
24,3771-9402-4653,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,8012-7822-4887,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,5341-2894-6624,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,102,70,2026-09-26T15:00:00Z,,,1982,15841,219,6,,,,,,
24,4583-0672-3779,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,7165-4383-7978,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,2,6,2026-09-26T14:50:00Z,,,4,101,0,0,,,,,,
24,0365-0829-5859,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,0,,,,,,,,,,,,,,
24,8444-3773-7846,2026-09-25T19:36:05Z,2026-09-26T19:36:05Z,8,62,2026-09-26T18:40:00Z,2026-09-26T18:30:00Z,22.9,131,1611,7,0,,,,,,
24,0452-3941-9382,2026-09-25T19:43:15Z,2026-09-26T19:43:15Z,0,,,,,,,,,,,,,,
24,2567-9436-2583,2026-09-25T19:43:15Z,2026-09-26T19:43:15Z,25,313,2026-09-26T10:20:00Z,2026-09-26T10:10:00Z,14.45,624,9971,16,1,,,,,,
24,1972-6697-2782,2026-09-25T19:43:15Z,2026-09-26T19:43:15Z,0,,,,,,,,,,,,,,
24,9078-6941-6813,2026-09-25T19:43:15Z,2026-09-26T19:43:15Z,0,,,,,,,,,,,,,,
24,2467-4883-8973,2026-09-25T19:49:13Z,2026-09-26T19:49:13Z,0,,,,,,,,,,,,,,
24,9028-6059-5313,2026-09-25T19:49:13Z,2026-09-26T19:49:13Z,12,63,2026-09-25T22:40:00Z,,,287,2477,8,0,,,,,,
24,7054-3169-5128,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,21,142,2026-09-26T07:10:00Z,2026-09-26T07:00:00Z,11.06,277,5220,13,5,,,,,,
24,7258-0701-5309,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,9,37,2026-09-26T04:00:00Z,,,64,797,5,0,,,,,,
24,0452-7965-9408,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,11,80,2026-09-26T13:50:00Z,,,281,2586,13,0,,,,,,
24,2017-0189-3226,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,0555-4320-2692,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,0766-0296-2494,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,8513-3342-0503,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,8454-8544-2924,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,7583-3589-8419,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,4,6,2026-09-25T20:10:00Z,,,6,180,0,0,,,,,,
24,2397-0062-3262,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,2602-0193-1605,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,133,40,2026-09-26T19:40:00Z,,,1604,19751,63,7,,,,,,
24,3102-3167-9407,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,4255-5956-2529,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,0,,,,,,,,,,,,,,
24,6771-1880-7737,2026-09-25T19:56:41Z,2026-09-26T19:56:41Z,145,85,2026-09-25T22:10:00Z,,,3817,69573,25,1,,,,,,
