at,code,kind,age_hours,ccu_before,ccu_after
2026-09-24T20:00:00Z,2312-3096-3140,established,,28,141
2026-09-24T03:00:00Z,9563-8257-0848,established,,29,129
2026-09-25T17:00:00Z,7155-7218-9044,established,,10,90
2026-09-24T09:00:00Z,0961-8141-8252,established,,10,50
2026-09-25T11:00:00Z,2081-7136-6647,established,,9,198
2026-09-24T22:00:00Z,4408-6119-0091,established,,28,159
2026-09-24T20:00:00Z,7893-9546-9714,established,,5,52
2026-09-25T12:00:00Z,2972-5862-8877,established,,5,83
2026-09-24T00:00:00Z,8406-4338-3879,established,,6,64
2026-09-25T09:00:00Z,1238-8921-8903,established,,7,51
2026-09-24T13:00:00Z,6498-8428-1904,established,,8,79
2026-09-24T06:00:00Z,6262-5743-9849,established,,21,100
2026-09-25T13:00:00Z,3837-9636-9505,established,,21,145
2026-09-25T17:00:00Z,3791-0891-9328,established,,63,262
2026-09-24T19:00:00Z,3545-3671-1669,established,,10,85
2026-09-24T13:00:00Z,5519-4226-1471,established,,15,137
2026-09-25T00:00:00Z,1023-3077-5427,established,,0,89
2026-09-23T23:00:00Z,5494-8930-2057,established,,9,55
2026-09-25T13:00:00Z,6821-1481-6945,established,,8,52
2026-09-25T16:00:00Z,5195-8348-6059,established,,14,73
2026-09-25T11:00:00Z,6786-0537-1526,established,,9,141
2026-09-24T22:00:00Z,8089-0616-8914,established,,16,81
2026-09-24T20:00:00Z,1653-1671-8190,established,,21,256
2026-09-24T18:00:00Z,5134-7238-5229,established,,25,212
2026-09-24T00:00:00Z,1689-2986-4337,established,,45,185
2026-09-25T17:00:00Z,1640-0097-7728,established,,35,208
2026-09-24T16:00:00Z,7965-9617-6749,established,,5,182
2026-09-25T13:00:00Z,7965-9617-6749,established,,8,90
2026-09-25T19:00:00Z,7965-9617-6749,established,,29,275
