started,finished,requests,retries,new_islands,catalog,rank_hours,launch_checks,finals,established,notes
2026-09-25T19:03:58Z,2026-09-25T19:09:29Z,993,0,1,seed,6,0,0,204,2396 established islands waiting
2026-09-25T19:11:30Z,2026-09-25T19:17:01Z,994,0,0,,6,0,0,312,2288 established islands waiting
2026-09-25T19:36:05Z,2026-09-25T19:41:36Z,992,0,16,,6,0,0,308,1980 established islands waiting
2026-09-25T19:43:15Z,2026-09-25T19:48:46Z,993,0,4,,6,0,0,309,1671 established islands waiting
2026-09-25T19:49:13Z,2026-09-25T19:54:44Z,994,0,2,,6,0,0,310,1361 established islands waiting
2026-09-25T19:56:41Z,2026-09-25T20:02:13Z,976,0,14,288880 islands,6,0,0,300,1061 established islands waiting
2026-09-25T22:16:33Z,2026-09-25T22:22:05Z,994,0,60,,6,37,0,433,628 established islands waiting
2026-09-26T00:41:43Z,2026-09-26T00:47:14Z,994,0,52,,6,60,0,421,207 established islands waiting
2026-09-26T05:37:14Z,2026-09-26T05:40:54Z,659,0,62,,6,149,0,207,
2026-09-26T10:19:44Z,2026-09-26T10:25:16Z,993,0,96,,6,114,0,387,1584 established islands waiting
2026-09-26T14:36:24Z,2026-09-26T14:41:55Z,993,0,151,,6,158,0,364,1641 established islands waiting
2026-09-26T18:01:59Z,2026-09-26T18:07:30Z,991,0,105,,6,247,0,315,1533 established islands waiting
2026-09-26T21:04:32Z,2026-09-26T21:10:04Z,973,0,119,283409 islands,6,293,0,140,1392 established islands waiting
